id,time,director,year,star1,star2,star3,star4,star5,star6,rotten_tomatoes,audience_rating,review1,review2,review3,review4,review5
142,1 hr. 52 min.,Martin Ritt,1965,Claire Bloom,Richard Burton,Oskar Werner,Sam Wanamaker,George Voskovec,Rupert Davies,85,81,"An excellent contemporary espionage drama of the Cold War which achieves solid impact via emphasis on human values, total absence of mechanical spy gimmickry, and perfectly controlled underplaying.","What finally impresses, however, is the sheer seediness of so much of the film, with characters, buildings, and landscapes lent convincingly grubby life by Oswald Morris' excellent monochrome camera-work.",The film makes you believe it could have happened. And that's the remarkable thing.,"Grim, monotonous, and rather facile, though Richard Burton's aging agent has some honest poignancy.",This pitch-perfect adaptation of John le CarrÃ©'s best-seller captures the Cold War in all its chilly complexity ... Burton delivers a towering performance that's second only to his turn in Who's Afraid of Virginia Woolf? as the finest of his career.
143,54 min.,Joseph Kane,1940,Roy Rogers,George 'Gabby' Hayes,Jacqueline Wells,Henry Brandon,Harry Woods,Noble Johnson,0,0,,,,,
144,1 hr. 27 min.,William Webb,1985,Gene Hackman,Matt Dillon,Josef Sommer,Gayle Hunnicutt,Victoria Fyodorova,Ilona Grubel,71,33,It's great action and gripping fun.,The plot creaks along and nothing Penn does can align it.,Laughing at this stuff isn't good for the soul.,"Pure cable flick stuff all the way, only with the added power of Hackman! (And his sidekick Dillonlad!)",...[an] engaging and intriguing little thriller.
145,,Dilip Shukla,2004,Akshay Kumar,Raveena Tandon,Amrish Puri,Raj Babbar,Achyut Potdar,Alok Nath,0,50,,,,,
146,1 hr. 30 min.,Ken Barbet,2004,Michael Rooker,Bas Rutten,Dana Lee,G. Anthony Joseph,Wolf Muser,Marco Ruas,0,16,"...delivers pretty much what one might expect - lots of action, very little character development...",,,,
147,1 hr. 40 min.,Kevin Allen,2004,Frankie Muniz,Anthony Anderson,Hannah Spearritt,Cynthia Stevenson,Daniel Roebuck,Anna Chancellor,13,31,"Really pretty hateful, shooting for the bulk of its laughs at the expense of those wacky foreign kids and the endlessly humiliated Anthony Anderson.",Moderately cute action comedy for young tweens.,You may be surprised at how not torturous [the film is].,The sequel's a caricatured and clichÃ©d yawner. And the tone is all wrong.,"Muniz manages to retain his wide-eyed, harried charm, but the film is really a shameful disservice to both him and the family audience which will no doubt turn out in droves to see it."
148,1 hr. 46 min.,Basil Dearden,1969,Oliver Reed,Diana Rigg,Telly Savalas,Curd JÃ_rgens,Philippe Noiret,Warren Mitchell,67,74,Entire cast play their respective roles broadly and each gives a good account of himself.,None too witty black comedy.,"It's never as funny as it looks, but it's a pleasant enough ride if you like your companions.",A not as clever a black comedy as it might think.,"Amusing, but with those stars it ought to be better than it is."
149,1 hr. 34 min.,Kimiyoshi Yasuda,1971,ShintarÃ´ Katsu,Yu Wang,Watako Hamaki,Michie Terada,Koji Nambara,,0,78,,,,,
150,2 hr. 36 min.,Ray Taylor,1934,Bela Lugosi,Maria Alba,Clara Kimball Young,Dean Benton,Phyllis Ludwig,Josef Swickard,0,43,"Its unique blend of the supernatural and the exotic, its decent production values, and Bela Lugosi in one of his only heroic roles, help it stand out among its competition.",,,,
151,1 hr. 38 min.,Herb Freed,1980,John Saxon,Lynda Day George,Michael Dante,Janice Lynde,Mario Milano,David Opatoshu,0,0,,,,,
152,1 hr. 45 min.,Sydney Pollack,1969,Burt Lancaster,Peter Falk,Patrick O'Neal,Jean-Pierre Aumont,Astrid Heeren,Scott Wilson,43,52,Apparent efforts to insert a fresh side of war by concentrating on some of its grim humor act more as a deterrent than a booster to interest.,Pollack's folly remains an intriguing curio in spite of its pretensions.,It's a sometimes funny and entertaining movie that accomplishes the dubious feat of being both anti and pro war at the same time.,"There are some deliberate and successful moments of comedy that do not undercut the seriousness of the war, but effectively accommodate the more absurd moments.","The dialog is very salty, but the action spotty."
153,1 hr. 26 min.,Po-Chih Leong,2004,Steven Seagal,Ida Nowakowska,Agnieszka Wagner,Matt Schulze,Krzysztof Pieczynski,Robbie Gee,0,21,,,,,
154,1 hr. 29 min.,George Armitage,2004,Owen Wilson,Sara Foster,Morgan Freeman,Charlie Sheen,Gary Sinise,Bebe Neuwirth,16,23,Missing: this movie's plot.,"Not a bad film, despite what you may have heard, but there is no doubt it should have been a lot better.","With gorgeous Hawaiian cinematography, a charming Owen Wilson, and a clever script, I found it eminently enjoyable.",This movie is all looks and no brains.,"It's sexy, offbeat fun for the most part, but it's way too laid-back for its own good and, in the end, obstinately refuses to be anything more than the sum of its highly promising parts."
155,2 hr.,Tomoki Kyoda,2003,Chris Patton,Monica Rial,Mandy Clark,,,,0,83,,,,,
156,1 hr. 40 min.,Todd Phillips,2004,Ben Stiller,Owen Wilson,Snoop Dogg,Fred Williamson,Vince Vaughn,Juliette Lewis,63,49,Too amiable to cook up anything truly memorable...,Stiller and Wilson look bewildered.,"Silly, but lots of fun for older teens.",It's basically a time killer with a lot of forgettable jokes that go on way too long many times...,Stiller and Wilson are far less serious than their television role models (Paul Michael Glaser and David Soul) but still drive the hell out of the souped-up Ford Gran Torino muscle car that boosted the show's visual appeal.
157,1 hr. 29 min.,David Lane,1968,Sylvia Anderson,John Carson,Peter Dyneley,Catherine Finn,David Graham,Geoffrey Keen,0,44,I think even children will find this chatty film rather dull.,...there just isn't enough happening here to keep the viewer engaged for 89 minutes...,,,
158,1 hr. 37 min.,Lee Madden,1969,Tom Stern,Jeremy Slate,Conny Van Dyke,Steve Sandor,G.D. Spradlin,Sonny Barger,0,36,,,,,
159,1 hr. 30 min.,Sergio Goyri,1992,Sergio Goyri,Telly Filippini,Armando Araiza,RaÃºl Araiza,Alfonso Zayas,,0,0,,,,,
160,1 hr. 39 min.,Howard Deutch,2003,Bruce Willis,Matthew Perry,Amanda Peet,Kevin Pollak,Natasha Henstridge,Frank Collison,4,41,"Every joke is stretched to the breaking point, and no one seems to be having any fun.",Inconsistencies in tone are minor when compared to the confusion created by the editor's butchery.,This appalling mess of a movie just isn't funny.,"Unfunny, badly acted, and made solely for the purposes of big paychecks this film is just utterly embarrassing and nonsensical. This is mindless drivel, without being able to call itself a guilty pleasure.","Proof that most sequels should be avoided, ""The Whole Ten Yards"" vaporizes the humor of its superior 1999 precursor."
161,2 hr. 3 min.,Robert Rossen,1959,Gary Cooper,Rita Hayworth,Van Heflin,Tab Hunter,Richard Conte,Michael Callan,0,56,,,"So-so Gary Cooper quasi-western; very talky, very lumbering.","Far from Coop's best, but his presence makes it worthwhile for fans.",
162,2 hr. 2 min.,Brian Caspe,2004,Ron Perlman,John Hurt,Selma Blair,Rupert Evans,Karel Roden,Jeffrey Tambor,81,65,"When the movie's story line concentrates on the character of Hellboy and his relationships with those important to him, the film becomes a unique romp, with an exciting yet vulnerable superhero at the center who just happens to be the spawn of Satan.","Played by Ron Perlman, he's the most magnetic action hero I've come across in a long while, though I couldn't make heads or tails of this story.","Unfortunately, after setting up this fresh blue-collar scenario in the movie's first hour, Del Toro wallows in pyrotechnics.","Del Toro, in love with his source but never overawed by it, keeps things moving; Perlman ties it together with some of the driest witticisms this side of Indiana Jones. Like we said: fun.",It would be quite impossible to claim is that the filmmaker's love of his subject isn't apparent throughout every lovingly-crafted frame.
163,1 hr. 45 min.,Norman Taurog,1963,Elvis Presley,Joan O'Brien,Gary Lockwood,Vicky Tiu,H.M. Wynant,Edith Atwater,17,58,,,...It's probably expecting too much to call It Happened at the World's Fair uninspired...,For die-hard Elvis fans and for lovers of flicks that are set at a World's Fair.,"Typical Presley vehicle that's no better than the others, but not much worse either."
164,2 hr. 22 min.,Michael Cacoyannis,2005,Anthony Quinn,Alan Bates,Irene Papas,Lila Kedrova,Sotiris Moustakas,Georges Foundas,86,87,,,,,The serious critique in Zorba attends the tragic elements in the story
165,1 hr. 50 min.,Gregor Jordan,2003,Heath Ledger,Orlando Bloom,Geoffrey Rush,Naomi Watts,Laurence Kinlan,Philip Barantini,56,54,"Ultimately, Jordan's vision is so murky that Ned Kelly remains as foreign to us as wombat stew.","If Ned Kelly is supposed to be an anti-hero to root for, his speeches border on parody and his cause is really unclear.","Offers a couple of well-filmed showdowns and lots of pretty landscapes, but you need more than scenic views and stylish action to chronicle a life, especially one as controversial as Kelly's.",A leaden retelling of the legend of Australia's Jesse James that has understandably been sitting on the shelf for a couple of years.,"A handsome, action-packed biographical drama with a credibility gap wider than the screen."
166,2 hr. 15 min.,Joe Johnston,2004,Viggo Mortensen,Zuleikha Robinson,Omar Sharif,Louise Lombard,Adam Alexi-Malle,Said Taghmaoui,47,65,"An adventure that never met a cliche it couldn't saddle, mount and ride for a butt-numbing two hours and sixteen minutes.","An exciting, colorful and very appealing movie.","Whether or not the events depicted really happened to Hopkins, it's still a damn fun story.","Formulaic, overly simple, too violent for tweens.","The event around which the movie revolves is a desert mirage, since there is no record of any such race ever being staged. Nonetheless, those able to ignore this outrageous historical distortion might enjoy this triumph of an underdog aganst the odds."
167,1 hr. 32 min.,Russ Mayberry,1979,Dennis Dugan,Jim Dale,Ron Moody,Kenneth More,John Le Mesurier,Rodney Bewes,0,34,,,,,
168,1 hr. 34 min.,Norman Taurog,1968,Elvis Presley,Nancy Sinatra,Bill Bixby,Gale Gordon,William Schallert,Victoria Paige Meyer...,0,54,,,,,
169,1 hr. 35 min.,Bubba Smith,2006,Busta Rhymes,Xzibit,Shakara Ledard,Prodigy,Bobb'e J. Thompson,Shaun Baker,0,54,,,,,
170,1 hr. 30 min.,Kimiyoshi Yasuda,1974,ShintarÃ´ Katsu,Eiji Okada,Kei Sato,Takashi Shimura,Yukiyo Toake,Eri Yokoyama,0,79,,,,,
171,2 hr. 17 min.,Quentin Tarantino,2004,Uma Thurman,David Carradine,Michael Madsen,Daryl Hannah,Gordon Liu,Chia Hui Liu,84,89,"If Kill Bill - Vol. 1 was like a roundhouse kick to the head, Vol. 2 is practically a warm hug.","Those turned off by the first part's reckless, relentless violent purges aren't likely to find cause for conversion, but Vol. 2 certainly broadens the tale's remit, even as it aims to deepen it.","I've lost my sweet tooth for slice-and-dice escapism, and perhaps this is why I feel the need to see movies that don't simply glamorize or fetishize or supernaturalize brutality.","The pop encyclopedist and video-store genius has become a megalomaniac, and the exhilarating filmmaker he might have been is disappearing fast.","It has its moments, and Thurman is an appealing heroine. But on the whole, this is a disjointed, disappointing and monstrously self-indulgent exercise."
172,1 hr. 32 min.,ShintarÃ´ Katsu,1972,ShintarÃ´ Katsu,Kiwako Taichi,Kyoko Yoshizawa,Yasuhiro Koume,Asao Koike,Joji Takagi,0,75,,,,,
173,1 hr. 31 min.,Douglas Kung,2001,Sik Siu Loong,Chin Ka-lok,,,,,0,0,,,,,
174,1 hr. 39 min.,Jong-geum Mun,2002,Umermiya Masako,Enoki Takaki,Jae-Sung Choi,Takaaki Enoki,Sang Hyun Lee,Kung-won Nam,0,33,,,,,
175,1 hr. 35 min.,Michael Anderson,1997,Richard Crenna,Paul Gross,Ben Cross,Julie Cox,Michael Jayston,Jeff Harding,0,30,,,,,
176,1 hr. 43 min.,Eric Karson,1980,Chuck Norris,Karen Carlson,Lee Van Cleef,Art Hindle,Carol Bagdasarian,Kim Lankford,33,31,,"It's ambitious work but not always successful, with director Eric Karson biting off a little more than he can chew when it comes time to build momentum with such a top-heavy film.",,,
177,1 hr. 46 min.,D.J. Caruso,2004,Angelina Jolie,Ethan Hawke,Kiefer Sutherland,Gena Rowlands,Olivier Martinez,Tcheky Karyo,22,55,A couple of genuine thrills but not for kids.,"Willfully stupid and obvious for most of its running time, this serial-killer thriller lulls the audience into one gasp-worthy, rug-pulling moment that, while stupid, isn't exactly obvious. [Blu-ray]",Could very well be mistaken for an Ashley Judd programmer.,A production which would rather scare its audience with gore than reel it in via a gripping whodunit.,"The film's villain may take fictitious lives, but the film itself takes up real time that could be spent on better things."
178,1 hr. 30 min.,Martin Scorsese,1967,Harvey Keitel,Zina Bethune,Lennard Kuras,Michael Scala,Ann Colette,Wendy Russell,71,62,"Zina Bethune, as the girl, is believable but Harvey Keitel, as the anti-hero, is alternatively boorish or bewildered.","In the aggressive self-confidence, the use of rock music, and the perceptive observation, Scorsese reveals an anthropological feel for street life and the attitudes of male adolescence.","The director, who also wrote the original story and screenplay, hasn't succeeded in making a drama that is really much more aware than the characters themselves.","As a film, it has something to say to everyone. As a technical achievement, it brings together two opposing worlds of American cinema.",[It] can be read as a rather rough draft of Mean Streets.
179,1 hr. 49 min.,Steven Spielberg,1974,Goldie Hawn,William Atherton,Michael Sacks,Ben Johnson,Gregory Walcott,Steve Kanaly,92,66,"If the movie finally doesn't succeed, that's because Spielberg has paid too much attention to all those police cars (and all the crashes they get into), and not enough to the personalities of his characters.",The movie has a casual craziness that seems especially native.,"The Sugarland Express is not terribly original - Bonnie and Clyde, Badlands and The Getaway are indelibly marked in its DNA - but shows an already dazzling young filmmaker honing his skills and vision.","Steven Spielberg in Malickland, with dolly and zoom and a wagonload of familial issues",Modest but assured work.
180,1 hr. 25 min.,Chike and Coodle,1974,Peter Breck,Edgar Buchanan,Cynthia Smith,Allen Fiuzat,Patsy Garrett,Frances Bavier,86,55,,,,,Adorable dog saves the day in '70s classic.
181,1 hr. 8 min.,Donovan Cook,2004,Wayne Allwine,Tony Anselmo,Bill Farmer,Russi Taylor,Tress MacNeille,Jim Cummings,36,49,"The animation has a Saturday morning look to it, with an overall brighter, yellower cast, and the film feels like a cartoon short that's been put on the rack and stretched until it qualified as a full-length feature.""""","[Blu-ray Review] A top-notch A/V offering, a few short but cute extra features, and a slight but likable movie for any ageÂ—what's not to like? Disneyphiles and families with little ones should be confident in picking up this title. Gawrsh!",Too much cartoon violence in tale of classic trio.,See Richard Lester's one instead of this bland adaptation of the Dumas classic.,"Unfortunately, the result is only so-so."
182,1 hr. 31 min.,Dennie Gordon,2004,Ashley Olsen,Mary-Kate Olsen,Eugene Levy,Andy Richter,Riley Smith,Jared Padalecki,11,47,... an awful film.,"Not great, but Olsen twin fans won't care.",A basic rip-off of Ferris Bueller...,"Most viewers will likely be checking their watches, probably wishing this Minute were gone in 60 seconds.","[The stars] never attempt to do anything outside their limited range; like, for example, act."
183,1 hr. 36 min.,John Bradshaw,2002,Pete Postlethwaite,Neil Morrissey,Donnie Wahlberg,Adrian Dunbar,Michael Rapaport,Claire Forlani,0,38,,,,,
184,1 hr. 18 min.,Robert Harmon,2004,Colm Feore,Rhona Mitra,Jim Caviezel,Frankie Faison,Andrea Roth,Gordon Currie,13,37,"Painted in shades of Mad Max, Duel, Crash and The Driver, Highwaymen is so derivative that it constantly reminds you of better films as it spits out a barrage of sound and fury.","The cars get to have all the fun, and they don't have nearly enough of it.",,,
185,1 hr. 38 min.,Alan Devlin,2004,Patrick Bergin,Dearbhla Molloy,Angeline Ball,Alvaro Lucchesi,Marian Lennon,Stephen Rea,0,39,"only succeeds in simplifying Ulysses, not extracting meaning or emotion from it","Watchable, if not particularly cinematic, and faithful without actually evoking the uniquely literary qualities that have seduced generations of readers.",,,
186,4 hr.,John Lafia,2004,Kim Delaney,Beau Bridges,Fred Ward,David Cubitt,DulÃ© Hill,Ivan Sergei,0,54,,,,,
187,1 hr. 51 min.,Stephen Chow,2004,Stephen Chow,Wei Zhao,Man Tat Ng,Vicki Zhao Wei,Patrick Tse,Patrick Tse Yin,91,84,A spirited crowd-pleaser.,"You could call it a guilty pleasure, but that would suggest you feel bad about enjoying yourself.",May be the funniest out-and-out comedy of the summer.,"As goofy action comedies go, Shaolin Soccer is one of the best.",Untraditional underdog sports team story.
188,2 hr. 34 min.,Richard Brooks (VI),1965,Peter O'Toole,Eli Wallach,James Mason,Daliah Lavi,Curd JÃ_rgens,Jack Hawkins,54,58,"Brooks, while capturing the spirit of adventure of the novel, only superficially catches the inner emotional and spiritual conflict of its hero.",Brooks' adaptation of Conrad's novel is immeasurably better than its reputation.,"Something bewildering has happened in Richard Brooks's making of it, and it misses at being either Conrad or sheer entertainment cinema.","Joseph Conrad's elaborately structured fiction poses monstrous problems for film adaptation, and the solution proposed here by Richard Brooks -- plodding literal-mindedness -- doesn't come close to working.","At best, it only resembles Conrad's 1900 novel."
189,1 hr. 24 min.,Kenji Misumi,1968,ShintarÃ´ Katsu,Yoshiko Mita,Makoto SatÃ´,Takuya Fujioka,,,0,83,,,,,
190,1 hr. 42 min.,S. Sylvan Simon,1945,Peter Lawford,Donald Crisp,Nigel Bruce,June Lockhart,William Severn,Leon Ames,0,67,,,"Still strong family fare, via MGM, with the great Lassie",,
191,1 hr. 32 min.,Fred M. Wilcox,1946,Elizabeth Taylor,Frank Morgan,Tom Drake,Selena Royle,Harry Davenport,George Cleveland,0,50,The principal human actors are excellent in their simple roles.,It takes all the kindness Kathie can muster to rehabilitate the canine veteran.,,,
192,1 hr. 43 min.,Leon Benson,1964,Luke Halpin,Pamela Franklin,Brian Kelly,Tom Helmore,Helen Cherry,Francesca Annis,0,68,Sandy is far more in love with Flipper than he is with Penny,,,,
193,1 hr. 29 min.,Fred M. Wilcox,1943,Roddy McDowall,Donald Crisp,Edmund Gwenn,Dame May Whitty,Nigel Bruce,Elsa Lanchester,94,76,Lassie celebrates nothing more profound than the simple and timeworn relationship of a boy and a dog. It dramatizes the uncomplicated goodness of an animal in a complicated human world.,Lassie emerges as nice entertainment enhanced by color photography and good scenic shots.,Nobody made this heart-warming fluff better than MGM.,A thorough delight.,The classic 1943 canine weepie about a collie who crosses most of Britain to return to the little boy who loves her.
194,1 hr. 27 min.,James B. Clark,1963,Luke Halpin,Chuck Connors,Kathleen Maguire,Connie Scott,Jane Rose,Joe Higgins,40,49,,,,Good family movie is not just another fish story...or maybe it is.,a sunny windswept antidote to endless helpings of frantic Japanimation
195,1 hr. 50 min.,Philip Kaufman,1974,Warren Oates,Timothy Bottoms,Louis Gossett Jr,Simonie Kopapik,Joanasie Salomonie,Pilitak,0,86,,,,"One of those unforgettable film experiences where everything Â— cinematography, music, acting Â— coheres in a unified and rewarding work of art",
196,30 min.,Wallace Grissell,1944,Linda Stirling,Lucien Littlefield,Francis McDonald,Hal Taliaferro,John Merton,Tom Chatterton,0,83,Fun Republic cowboy chapter-play with a female Zorro!,,,,
197,1 hr. 35 min.,Jules Dassin,1996,Charles Laughton,Robert Young,Margaret O'Brien,Patrick Stewart,Neve Campbell,Joan Sims,0,58,TV movie version of Oscar Wilde classic has mild scares.,,,,
198,1 hr. 28 min.,Carlos Mendez,2003,Lorenzo de Monteclar...,Carlos Mendez,Miguel Rios,Luis Blanco,Victor Valenzuela,Nancy Martin,0,0,,,,,
199,1 hr. 32 min.,William Lustig,1989,Judd Nelson,Robert Loggia,Leo Rossi,Meg Foster,Patrick O'Bryan,Mindy Seger,40,37,,,,,Violent but undemanding suspense yarn.
200,,Tony Love,2002,Michael J. Pollard,Kath Soucie,Chuck McCann,Ed Gilbert,Gregg Berger,Hal Rayle,0,36,,,,,
201,1 hr. 29 min.,Robert Harmon,2004,Tom Selleck,James Remar,Timothy Bottoms,Gerald McRaney,Ian Mune,Bruce Phillips,0,71,,,,,
202,1 hr. 35 min.,Robert Clouse,1980,Jackie Chan,JosÃ© Ferrer,Kristine de Bell,Mako,Ron Max,David Sheiner,67,42,,,,"Has a lot of serious flaws, despite the presence of its great star.",Let's just say the title doesn't lie.
203,1 hr. 21 min.,Norman Foster,1956,Fess Parker,Buddy Ebsen,Jeff York,Kenneth Tobey,Clem Bevans,Irvin Ashkenazy,0,76,,,,,
204,2 hr.,Alfred Hitchcock,1940,Joel McCrea,Laraine Day,George Sanders,Herbert Marshall,Edmund Gwenn,Albert Basserman,94,81,"This film contains one of Hitchcock's most famous set pieces -- an assassination in the rain -- but otherwise remains a second-rate effort, as immensely enjoyable as it is.",Story is essentially the old cops-and-robbers. But it has been set in a background of international political intrigue of the largest order.,"Into it Director Alfred Hitchcock, whose unmistakable stamp the picture bears, has packed about as much romantic action, melodramatic hullabaloo, comical diversion and illusion of momentous consequence as the liveliest imagination could conceive.","Hitchcock's espionage thriller is a thoroughly enjoyable affair, complete with some of his most memorable set pieces.","Creative Hitchcock thriller mixes fun, spectacular set pieces and political depth."
205,1 hr. 33 min.,Norman Foster,1955,Fess Parker,Buddy Ebsen,William Bakewell,Basil Ruysdael,Pat Hogan,Hans Conried,0,81,,"Feature version of three TV Disney episodes still fun, exciting",,,
206,1 hr. 41 min.,Scott Thomas,2004,Fabian Carrillo,Gary Busey,Lorenzo Lamas,Robert LaSardo,Joyce Giraud,Luis Antonio Ramos,0,11,,,,,
207,1 hr. 25 min.,Chris Delaporte,2004,Kirsten Dunst,Richard Harris,Anjelica Huston,Keith David,Michael McShane,Greg Proops,7,43,"The monsters are derivative, the attempts at humor are mostly feeble and the story, in the end, lacks a certain je ne sais quoi.",Derivative and aimless filmmaking by directors and 'writers' who know only how to craft eye candy.,Simplistic writing and one-dimensional characters do in this animation film.,"There are moments in Kaena that are absorbing, but too much of the time it simply becomes tedious.",Augurs well for dazzling visual work but struggles mightily on the storytelling front.
208,2 hr. 20 min.,Ron Howard,1995,Bill Paxton,Tom Hanks,Kevin Bacon,Gary Sinise,Ed Harris,Kathleen Quinlan,95,86,"Tom Hanks is on his way to becoming the American Everyman, an exemplar of boyish goodwill and quiet moral force.",Ron Howard's pop-entertainment you-are-there space thriller is easily the most rousing film of the year. And it might make real spaceflight just as nifty as Star Wars for youngsters.,"Even if you know how it all turned out (and you should), this amazing journey is harrowing and exhilarating.",The film succeeds brilliantly at organizing great gobs of information into powerful drama.,Hanks is a terrific choice for the lead because he can appear strong and military without slipping over into Sgt. Rock corniness.
209,1 hr. 41 min.,Xavier Koller,1994,Adam Beach,Mandy Patinkin,Michael Gambon,Nathaniel Parker,Eric Schweig,Donal Donnelly,56,55,,,,,"Interesting, more a docudrama, tale of famous Native American Squanto."
210,1 hr. 33 min.,Kinji Fukasaku,1975,Tetsuya Watari,Tatsuo Umemiya,,,,,0,88,An amazingly energetic thriller.,,,,
211,2 hr. 3 min.,Jonathan Hensleigh,2004,Thomas Jane,John Travolta,James Carpinello,Will Patton,Laura Harring,Ben Foster,29,64,"There's something to be said for letting a comic book adaptation operate at the level of a comic book, dispensing cheap laughs and ice-cold sadism.","Ultimately, Frank's victim -to-vigilante transformation is so morally unexplored it's emotionally alienating.",Bad big screen adaptation of comic book.,"Standard, styleless revenge fantasy.",Despite some admittedly strong moments it's certainly nothing special and barely above ordinary.
212,1 hr. 37 min.,Charles Jarrott,1980,Elliott Gould,GeneviÃ¨ve Bujold,Rick Schroder,Tammy Lauren,Vincent Gardenia,John Fujioka,40,47,There must be a computer in the Disney studios programmed to produce live-action shooting scripts at the drop of various switches.,"Parents know Disney movies are OK to send the kids to because there won't be any nudity or profanity. But isn't it also poisonous for kids to be exposed to stupid characters, lame-brained plots and humorless 'gags?'","It is a formula effort, mixing safe thrills and pleasantries, and is fairly harmless entertainment.",Another Disney family film that stresses (to the point of ridiculousness) the importance of treating animals kindly.,
213,1 hr. 35 min.,Chris Thomson,1988,Jason Bateman,Jack Wagner,Tom Skerritt,John Glover,Chynna Phillips,Richard Dysart,0,20,,,,,
214,1 hr. 46 min.,Ken Annakin,1959,James MacArthur,Michael Rennie,Janet Munro,James Donald,Herbert Lom,Laurence Naismith,0,77,,"Pleasant climber adventure, not bad Disney",,,
215,1 hr. 35 min.,William Tannen (II),1984,Kris Kristofferson,Treat Williams,Rip Torn,Tess Harper,Kevin Conway,Kurtwood Smith,0,54,,,,,
216,1 hr. 32 min.,Michael Anderson,1977,Richard Harris,Charlotte Rampling,Keenan Wynn,Will Sampson,Bo Derek,Robert Carradine,15,33,,,,,"The kind of movie that is so deranged in every way that you legitimately cannot guess where it's going next, and sort of can't wait to see it get there."
217,1 hr. 33 min.,Raja Gosnell,2004,Freddie Prinze Jr.,Sarah Michelle Gella...,Neil Fanning,Matthew Lillard,Linda Cardellini,Seth Green,21,38,It plays better at home than at the premium price of the movie theater,"Milder than the 1st, but not Scooby-snack worthy.","I don't see how anyone, even Scooby Doo fans, could really find anything worth even remotely liking with this movie.",You could pass on both Scooby Doo films unless you really have nothing else to do one day. And I mean nothing.,"...just as silly, just as juvenile, just as inane, just as witless, just as dumb as the first movie. (Blu-ray Double-Feature Edition)"
218,1 hr. 30 min.,Sau Leung 'Blacky' Ko,2004,Richie Ren,Blackie Ho,Ruby Lam,Or Sau Leung,Ruby Lin,Sau Leung 'Blacky' K...,0,25,,,,,
219,2 hr. 26 min.,Tony Scott,2004,Denzel Washington,Dakota Fanning,Marc Anthony,Radha Mitchell,Christopher Walken,Giancarlo Giannini,39,90,Extremely violent; not for kids.,"Man On Fire is remake of a notoriously dreadful 1987 movie, based on the same-titled novel by A.J. Quinnell, and it fares little better here with Tony Scott (Spy Game) directing with a flamboyant use of flashy subtitles and camera techniques lifted f","Scott tries too hard to look like Ridley Scott's films with similar and derivative style, and hazy cinematography...",A down-and-dirty revenge tale that packs an emotional punch.,"Visually the film is nice, but the images are in service to a violent and ugly film."
220,2 hr. 5 min.,George Lucas,1977,Mark Hamill,Harrison Ford,Carrie Fisher,Alec Guinness,David Prowse,James Earl Jones,94,96,"[Star Wars] will undoubtedly emerge as one of the true classics in the genre of science fiction/fantasy films. In any event, it will be thrilling audiences of all ages for a long time to come.","George Lucas's science fiction adventure is an exhilarating update of Flash Gordon, very much in the same half-jokey, half-earnest mood, but backed by special effects that, for once, really work and are intelligently integrated with the story.","Heavy SF readers will recognize each character, every situation by its stock number and almost feel the affection Lucas has for them. There is not the tiniest sniff of cynicism anywhere in this film.","The view of outer space is a marvelous one, awe-inspiring in its beauty, and the artists and designers who did the work... deserve as many plaudits as can be thought up.",A mind-blowing spectacle that sends the audience off onto the wondrously strange world of fantasy and satisfies just about everyone's adolescent craving for a corny old-fashioned adventure movie.
221,2 hr. 4 min.,Casey Pugh,1980,Mark Hamill,Harrison Ford,Carrie Fisher,Alec Guinness,David Prowse,Anthony Daniels,95,97,"Another richly imaginative, engrossing and spectacular motion picture from the redoubtable George Lucas.","The Empire may not top Star Wars, but it certainly makes one look forward to whatever new surprises George Lucas and his band of cinematic wizards can conjure up for us.",The younger actors are now more confident.,"A spectacular piece of work that carries the new ""Star Wars"" tradition forward.","In many ways the new film is a better film than Star Wars, visually more exciting, more artful and meticulous in detail."
222,1 hr. 32 min.,William Asher,1966,Frankie Avalon,Annette Funicello,Fabian,Julie Parrish,Chill Wills,Harvey Lembeck,0,45,,,,,
223,1 hr. 31 min.,P. J. Pesce,2004,Tom Berenger,Denis Arndt,John Doman,William Duffy,Byron Mann,Nophand Boonyai,0,44,"A decent action flick. Not as good as the first Sniper, but a slight improvement over part two.",,,,
224,1 hr. 17 min.,Scott Spiegel,2004,Alexandra Staden,Nikolaj Coster-Walda...,Raymond Cruz,Fred Pearson,Valentin Teodosiu,Bianca Ana Tudorica,0,30,,,,,
225,1 hr. 36 min.,Joe Chappelle,2000,Skeet Ulrich,Russell Wong,Angela Featherstone,Donal Logue,Tom Berenger,Christopher McDonald,0,60,,"Some will find it laughable, others will find it insulting. I find it primarily a waste of time.",,,
226,1 hr. 31 min.,Paul Aaron,1979,Chuck Norris,Jennifer O'Neill,Clu Gulager,Ron O'Neal,James Whitmore Jr.,Clint Ritchie,0,30,,,,,
227,1 hr. 39 min.,Richard Pepin,2003,James Russo,Theresa Russell,Brad Dourif,Steve Railsback,Jon Polito,Michael Rooker,0,33,,,,,
228,1 hr. 35 min.,Bob Radler,1989,Eric Roberts,James Earl Jones,Sally Kirkland,Phillip Rhee,Chris Penn,Christopher Penn,0,73,,,,I LOVE this movie. Bad sequels take away from the original.,Surprisingly not-awful cable-flick action-fest!
