id,time,director,star,cost
1506, 117 minutes ,McG,Christian Bale,$9.73 
1507, 109 minutes ,Rintaro,,$8.89 
1508,49 minutes,Jerry Thorpe,"David Carradine, Brandon Cruz","Buy SD $1.99,Buy SD $24.99,"
1509,"1 hour, 7 minutes",Sam Liu,"Clancy Brown, Kevin Conroy","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
1510, 472 minutes ,Jan de Bont,Helen Hunt,$9.35 
1511, 1045 minutes ,Alan Smithee,Richard Dean Anderson,$11.26 
1512, 218 minutes ,Various,Various,$7.99 
1513, 100 minutes ,Various,Various,$8.69 
1514, 110 minutes ,Ken Olin,Craig Sheffer,$5.81 
1515, 126 minutes ,J.J. Abrams,Tom Cruise,$8.99 
1516,"1 hour, 56 minutes",Clint Eastwood,"Clint Eastwood, Michael Moriarty","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
1517, 88 minutes ,Robert Wise,Richard Burton,$9.82 
1518,"1 hour, 5 minutes",James Whale,"Madge Evans, John Boles","Buy SD $9.99,"
1519, 75 minutes ,Brandon Vietti,Jensen Ackles,$10.99 
1520, 111 minutes ,Various,Various,$4.99 
1521,"2 hours, 0 minutes",Bruce Robinson,"Johnny Depp, Aaron Eckhart","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
1522,,Tony Kaye,Edward Norton,$13.25 
1523, 140 minutes ,Gregory Nava,Zaide Silvia Gutierrez,$23.42 
1524, 103 minutes ,Shane Black,Robert Downey Jr.,$9.69 
1525, 391 minutes ,Charles Lamont,Boris Karloff,$22.99 
1526,12/27/2013,Tami Curtis,24 minutes,"Buy SD $1.99,Buy HD $13.99,Buy SD $12.99,"
1527, 134 minutes ,Stuart Baird,Kurt Russell,$4.92 
1528, 92 minutes ,Irving Pichel,John Archer,$7.79 
1529, 286 minutes ,Various,Various,$14.39 
1530,"1 hour, 42 minutes",Melvin Frank,"Danny Kaye, Glynis Johns","Rent HD $3.99,Rent SD $2.99,Buy HD $14.99,Buy SD $9.99,"
1531,"1 hour, 12 minutes",Phil Nibbelink,"John Goodman, Blaze Berdahl","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
1532, 86 minutes ,Brent Christensen,Jane Seymour,$9.99 
1533,44 minutes,Michael Rymer,"Edward James Olmos, Mary McDonnell","Buy SD $1.99,Buy HD $39.99,Buy SD $34.99,"
1534,"1 hour, 27 minutes",Sergio Corbucci,"Adriano Celentano, Anthony Quinn","Buy SD $7.96,"
1535, 116 minutes ,Guy Ritchie,Gerard Butler,$7.31 
1536, 121 minutes ,Clint Eastwood,Clint Eastwood,$7.89 
1537, 147 minutes ,William A. Wellman,John Wayne,$9.92 
1538, 105 minutes ,Peter Berg,Dwayne 'The Rock' Johnson,$6.15 
1539, 441 minutes ,Amber Engelmann,Brian Unger,$9.99 
1540,"1 hour, 31 minutes",Jonathan Liebesman,"Jordana Brewster, Taylor Handley","Rent HD $3.99,Rent SD $2.99,Buy HD $6.99,Buy SD $6.99,"
1541, 1360 minutes ,Alexander Singer,Stephanie Zimbalist,$22.92 
1542, 111 minutes ,Joe Wright,Saoirse Ronan,$9.58 
1543, 125 minutes ,Edward Dmytryk,E.G. Marshall,$9.51 
1544,"1 hour, 39 minutes",Simon Wincer,"Mickey Rourke, Don Johnson","Rent SD $2.99,Buy SD $9.99,"
1545,"1 hour, 31 minutes",David Koepp,"Joseph Gordon-Levitt, Dania Ramirez","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
1546, 95 minutes ,Joseph Pevney,Dean Jones,$17.99 
1547, 300 minutes ,Dan Fausett,Josh Keaton,$9.92 
1548, 177 minutes ,Moustapha Akkad,Anthony Quinn,$9.83 
1549,3 minutes,Brad Bird,"Brad Bird, Tom Cruise","Rent SD Free,"
1550, 108 minutes ,John Huston,Robert Mitchum,$9.77 
1551,"1 hour, 26 minutes",Frank Harris,"Gregg Henry, Simone Griffeth","Buy SD $9.99,"
1552,"1 hour, 22 minutes",Frederik Du Chau,"Jason Lee, Peter Dinklage","Rent HD $3.99,Rent SD $2.99,Buy HD $17.99,Buy SD $9.99,"
1553, 110 minutes ,Tarsem Singh,Henry Cavill,$9.99 
1554, 307 minutes ,Clint Eastwood,Billy Curtis,$19.98 
1555, 116 minutes ,Scott Cooper,Christian Bale,$5.99 
1556,"1 hour, 21 minutes",Zsolt Bernáth,"Szénási Bálint, Szénási Kristóf","Buy SD $9.99,"
1557, 60 minutes ,Mark Burnett,Jeff Probst,$16.29 
1558, 179 minutes ,Sergio Leone,Clint Eastwood,$9.50 
1559, 130 minutes ,Stephen Daldry,Tom Hanks,$4.99 
1560,"1 hour, 37 minutes",Andrew V. McLaglen,"Tom Selleck, Sam Elliott","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
1561,"1 hour, 52 minutes",Simon Hunter,"Thomas Jane, Ron Perlman","Rent HD $3.99,Rent SD $2.99,Buy HD $4.99,Buy SD $4.99,"
1562,"2 hours, 5 minutes",Joel Schumacher,"Arnold Schwarzenegger, George Clooney","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
1563, 109 minutes ,Various,Various,$4.94 
1564,"2 hours, 12 minutes",Randall Wallace,"Leonardo DiCaprio, Jeremy Irons","Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
1565, 109 minutes ,William A. Wellman,John Wayne,$6.43 
1566,43 minutes,Kevin Fair,"Tom Welling, Erica Durance","Buy SD $1.99,Buy HD $39.99,Buy SD $34.99,"
1567,31 minutes,Marc Berlin,Marc Berlin,"Buy SD $4.99,"
1568, 122 minutes ,Mike Nichols,Alan Arkin,$5.92 
1569,"1 hour, 40 minutes",Yimou Zhang,"Jet Li, Tony Chiu Wai Leung","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
1570, 105 minutes ,Casey La Scala,Colin McKay,$27.38 
1571, 224 minutes ,David Dobkin,Jackie Chan,$9.79 
1572, 97 minutes ,Chang Cheh,,$6.51 
1573, 117 minutes ,Gary McKendry,Jason Statham,$6.49 
1574,"1 hour, 41 minutes",Ken Annakin,"Charlton Heston, Michèle Mercier","Buy SD $3.75,"
1575, 99 minutes ,Various,Various,$72.99 
1576, 99 minutes ,Steve Anderson,Byron Keith Minns,$4.99 
1577, 135 minutes ,Spike Lee,Damon Wayans,$69.95 
1578, 180 minutes ,Christian Duguay,Leelee Sobieski,
1579, 325 minutes ,Colleen Clinkenbeard,Jad Saxton,$37.39 
1580, 109 minutes ,John Irvin,Patrick Swayze,$5.00 
1581,"1 hour, 28 minutes",Lawrence Guterman,"Jeff Goldblum, Elizabeth Perkins","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
1582, 575 minutes ,Tatsuya Igarashi,Rachel Hirschfeld,$25.99 
1583, 92 minutes ,Various,Various,$4.99 
1584, 119 minutes ,Randa Haines,Tim Daly,$9.92 
1585,"1 hour, 41 minutes",Todd Phillips,"Ben Stiller, Owen Wilson","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
1586, 111 minutes ,Herbert Ross,Michael J. Fox,$10.93 
1587, 115 minutes ,Jay Russell,Joaquin Phoenix,$4.99 
1588, 115 minutes ,Various,Various,$3.74 
1589, 106 minutes ,Lewis Teague,Michael Douglas,$3.99 
1590,23 minutes,Ben Jones,"Michael Cornacchia, Jennifer Hale","Buy SD $19.99,"
1591, 92 minutes ,Wes Anderson,Robert Musgrave,$6.40 
1592, 102 minutes ,Ralph Bakshi,Gabriel Byrne,$79.95 
1593,"5 hours, 10 minutes",Gunther von Fritsch,Steve Holland: Irene Champlin,"Buy SD $4.99,"
1594,"1 hour, 34 minutes",Ted Kotcheff,"Sylvester Stallone, Richard Crenna","Buy HD $9.99,Buy SD $7.99,"
1595, 87 minutes ,Louis Leterrier,Jason Statham,$7.40 
1596, 1480 minutes ,Ken Burns,Edward Herrmann,$88.88 
1597,"1 hour, 23 minutes",Anna Masefield,"Stephen Watson, Joey Dunlop","Rent HD $4.99,Rent SD $3.99,Buy HD $9.99,Buy SD $7.99,"
1598,"2 hours, 2 minutes",Guillermo del Toro,"Ron Perlman, John Hurt","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $7.99,"
1599,23 minutes,Steward Lee,"James Arnold Taylor, Sam Witwer","Buy SD $1.99,Buy HD $29.99,Buy SD $24.99,"
1600,"2 hours, 21 minutes",Ridley Scott,"Russell Crowe, Cate Blanchett","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
1601,"1 hour, 46 minutes",Tony Scott,"Bruce Willis, Damon Wayans","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
1602, 119 minutes ,Emeric Pressburger,John Gregson,$19.49 
1603, 117 minutes ,Sidney Poitier,Harry Belafonte,$9.67 
1604,"1 hour, 34 minutes",Walter Hill,"Michael Paré, Diane Lane","Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
1605,"1 hour, 55 minutes",John Milius,"Danny Glover, Willem Dafoe","Rent HD $3.99,Rent SD $2.99,Buy HD $13.99,Buy SD $9.99,"
1606,"1 hour, 51 minutes",Julie Taymor,"Felicity Jones, Jude Akuwudike","Rent HD $3.99,Rent SD $2.99,Buy HD $19.99,Buy SD $14.99,"
1607,"2 hours, 17 minutes",James Cameron,"Arnold Schwarzenegger, Linda Hamilton","Buy HD $16.99,Buy SD $15.99,"
1608,"1 hour, 40 minutes",Oliver Hirschbiegel,"Nicole Kidman, Daniel Craig","Rent HD $3.99,Rent SD $2.99,Buy HD $6.99,Buy SD $6.99,"
1609, 105 minutes ,Ariel Vromen,Michael Shannon,$5.99 
1610, 103 minutes ,AndrÃ© Ãvredal,Otto Jespersen,$9.49 
1611,"1 hour, 58 minutes",Mark Pellington,"Jeff Bridges, Tim Robbins","Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
1612, 120 minutes ,Lili Fini Zanuck,Jason Patric,
1613, 111 minutes ,Quentin Tarantino,Uma Thurman,$4.99 
1614,"2 hours, 15 minutes",Jon Amiel,"Christopher Shyer, Ray Galletti","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $9.99,"
1615,"2 hours, 53 minutes",John Sturges,"Steve McQueen, James Garner","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
1616, 113 minutes ,Andrzej Bartkowiak,Dwayne 'The Rock' Johnson,$8.50 
1617, 131 minutes ,Andrew V. McLaglen,William Holden,$7.46 
1618,"1 hour, 42 minutes",Miguel Ángel Vivas,"Matthew Fox, Jeffrey Donovan","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
1619, 110 minutes ,Toyoo Ashida,Wally Burr,$19.99 
1620, 81 minutes ,Mike Judge,Mike Judge,$14.95 
1621,"1 hour, 35 minutes",John R. Leonetti,"Robin Shou, Talisa Soto","Buy HD $12.99,Buy SD $9.99,"
1622, 91 minutes ,Joseph Sargent,Lorraine Gary,$6.52 
1623, 133 minutes ,Richard Donner,Sylvester Stallone,$4.57 
1624,"1 hour, 16 minutes",Yasuhiro Aoki,"Kevin Conroy, Jason Marsden","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
1625, 94 minutes ,Jon Harris,Michael J. Reynolds,$8.23 
1626, 109 minutes ,Barry Levinson,Nicholas Rowe,$5.00 
1627, 128 minutes ,John Woo,Yun-Fat Chow,$14.99 
1628, 104 minutes ,Walter Hill,Arnold Schwarzenegger,$6.50 
1629, 111 minutes ,Peter Berg,Jamie Foxx,$9.58 
1630,"1 hour, 8 minutes",William Berke,"Jean Parker, Russell Hayden","Buy SD $9.99,"
1631, 130 minutes ,Martin Campbell,Antonio Banderas,$7.98 
1632, 88 minutes ,Henry Hathaway,James Mason,$12.99 
1633, 105 minutes ,Martin Brest,Eddie Murphy,$4.99 
1634, 90 minutes ,Peter Brook,James Aubrey,$13.59 
1635, 374 minutes ,Louis Morneau,Ed Quinn,$7.99 
1636, 122 minutes ,Andrew Niccol,Nicolas Cage,$5.00 
1637, 93 minutes ,Various,Various,$5.35 
1638, 95 minutes ,RZA,Rick Yune,$13.49 
1639,44 minutes,Richard J. Lewis,"Jim Caviezel, Taraji P. Henson","Buy SD $1.99,Buy HD $34.99,Buy SD $34.99,"
1640, 104 minutes ,John Ford,Claudette Colbert,$27.04 
1641, 340 minutes ,Debbie Moon,Bobby Lockwood,$11.49 
1642,"1 hour, 30 minutes",Kei Era,"Naoto Eguchi, Kôtarô Hayashi","Buy SD $6.99,"
1643,"2 hours, 15 minutes",Jerry Zucker,"Sean Connery, Richard Gere","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $7.99,"
1644, 139 minutes ,Roland Emmerich,Maria Pitillo,$11.99 
1645, 102 minutes ,Sylvester Stallone,Burt Young,$18.99 
1646, 105 minutes ,Keanu Reeves,Keanu Reeves,$9.89 
1647, 109 minutes ,David Ayer,Keanu Reeves,$7.02 
1648, 259 minutes ,Lambert Hillyer,Lewis Wilson,$19.99 
1649, 110 minutes ,Brian De Palma,Tom Cruise,$9.59 
1650, 102 minutes ,Brad Silberling,Will Ferrell,$9.58 
1651,"1 hour, 31 minutes",Jen Soska,"Dean Cain, Paul Wight","Rent HD $4.99,Rent SD $3.99,Buy HD $17.99,Buy SD $14.99,"
1652,"2 hours, 17 minutes",Robert Wise,"William Shatner, Leonard Nimoy","Buy SD $9.99,"
1653, 100 minutes ,Chang Cheh,Kuan Tai Chen,$6.59 
1654, 127 minutes ,Richard Donner,Gene Hackman,$7.72 
1655, 106 minutes ,Phil Joanou,Alec Baldwin,$5.90 
1656, 300 minutes ,Various,Various,$12.99 
1657,,Various,Various,$14.68 
1658, 103 minutes ,Compton Bennett,Deborah Kerr,$8.97 
1659, 114 minutes ,Renzo Martinelli,F. Murray Abraham,$13.39 
1660, 93 minutes ,Lewis Seiler,Preston Foster,$12.99 
1661, 109 minutes ,Pennant Roberts,Tom Baker,$28.79 
1662,52 minutes,John Hannah,"John Hannah, Manu Bennett","Buy SD $1.99,Buy HD $9.99,Buy SD $7.99,"
1663,"2 hours, 0 minutes",Michael Curtiz,"Errol Flynn, Olivia de Havilland","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,"
1664, 105 minutes ,Elaine May,Warren Beatty,$8.34 
1665, 91 minutes ,Don Chaffey,Raquel Welch,$6.52 
1666, 171 minutes ,Nicholas Ray,Siobhan McKenna,$9.05 
1667, 103 minutes ,Philip D'Antoni,Roy Scheider,$11.99 
1668, 129 minutes ,Clint Eastwood,Clint Eastwood,$9.61 
1669,"2 hours, 34 minutes",Jay Oliva,"Peter Weller, Ariel Winter","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
1670, 105 minutes ,Liev Schreiber,Elijah Wood,$10.37 
1671,27 minutes,Joseph Rosendo,Joseph Rosendo,"Rent SD $1.99,Buy HD $13.99,Buy SD $12.99,"
1672,"1 hour, 38 minutes",Dick Powell,"Robert Mitchum, Curd Jürgens","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $9.99,"
1673,"1 hour, 47 minutes",Dwight H. Little,"Wesley Snipes, Diane Lane","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
1674,"1 hour, 52 minutes",Curtis Hanson,"Meryl Streep, Joseph Mazzello","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
1675, 117 minutes ,Peter Weir,Harrison Ford,$4.92 
1676, 97 minutes ,Mark Disalle,Dennis Alexio,$6.99 
1677, 98 minutes ,Roger Vadim,Jane Fonda,$7.99 
1678, 124 minutes ,Junichi Fujisaku,Kari Wahlgren,$28.33 
1679,"1 hour, 46 minutes",Richard Loncraine,"Harrison Ford, Virginia Madsen","Rent HD $3.99,Rent SD $2.99,Buy HD $7.99,Buy SD $9.99,"
1680, 97 minutes ,John Dahl,Matthew Kimbrough,$4.99 
1681,"1 hour, 59 minutes",Peter Weir,"Harrison Ford, Helen Mirren","Buy HD $13.99,Buy SD $9.99,"
1682,23 minutes,Don Towsley,"Adam West, Burt Ward","Buy SD $23.99,"
1684, 2944 minutes ,Ed Spielman,Josh Brolin,$35.49 
1685, 120 minutes ,Ben Younger,Giovanni Ribisi,$4.57 
1686,"1 hour, 41 minutes",Simon West,"Angelina Jolie, Jon Voight","Rent HD $3.99,Rent SD $2.99,Buy HD $13.99,Buy SD $9.99,"
1687, 115 minutes ,David Cronenberg,Peter Weller,$22.54 
1688, 90 minutes ,Gabriel Sabloff,David a R White,$7.99 
1689, 108 minutes ,Hal Needham,Burt Reynolds,
1690, 123 minutes ,Pen Densham,Robin Wright,$33.79 
1691, 109 minutes ,Paul Greengrass,Matt Damon,$8.49 
1692, 103 minutes ,Richard Fleischer,Charles Bronson,$9.62 
1693,"1 hour, 59 minutes",Michel Gondry,"Seth Rogen, Jay Chou","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
1694, 124 minutes ,Cecil B. DeMille,John Wayne,$9.61 
1695,"1 hour, 28 minutes",Caroline Thompson,"Docs Keepin Time, Alan Cumming","Buy HD $13.99,Buy SD $9.99,"
1696, 87 minutes ,Giuseppe Colizzi,Terrence Hill,$5.49 
1697, 119 minutes ,Danny Boyle,Leonardo DiCaprio,$17.74 
1698, 942 minutes ,Alan Simmonds,Richard Dean Anderson,$10.01 
1699,51 minutes,Litmatch Productions,"Kyle Johnson,Ivan Marcinko",
1700, 119 minutes ,John G. Avildsen,Sylvester Stallone,$7.28 
1701, 122 minutes ,Sam Peckinpah,Steve McQueen,$12.99 
1702, 134 minutes ,Len Wiseman,Michael Sheen,$9.00 
1703, 1078 minutes ,Alexander Singer,Stephanie Zimbalist,$14.58 
1704, 110 minutes ,John Badham,Mel Gibson,$10.49 
1705, 124 minutes ,Sidney Lumet,Al Pacino,$6.99 
1706, 127 minutes ,Tony Scott,Robert Redford,$9.49 
1707, 98 minutes ,George Tillman Jr.,Dwayne Johnson,$7.99 
1708, 110 minutes ,Timur Bekmambetov,James McAvoy,$7.50 
1709, 88 minutes ,Jason Bourque,Esai Morales,$4.92 
1710, 86 minutes ,Kevin Bray,Dwayne Johnson,$6.15 
1711,"1 hour, 56 minutes",John Huston,"Gregory Peck, Richard Basehart","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
1712, 90 minutes ,Robert Clouse,Kurt Thomas,$5.97 
1713, 137 minutes ,Quentin Tarantino,Uma Thurman,$4.98 
1714, 91 minutes ,David Miller,Burt Lancaster,$10.60 
1715, 97 minutes ,Albert Pyun,Matt Salinger,$9.99 
1716,"1 hour, 41 minutes",John Curran,"Lily Pearl, Mia Wasikowska","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $9.99,"
1717,"3 hours, 5 minutes",Stanley Kubrick,"Ryan O'Neal, Marisa Berenson","Rent HD $3.99,Rent SD $2.99,Buy HD $17.99,Buy SD $9.99,"
1718,"1 hour, 59 minutes",Jon Favreau,"Daniel Craig, Abigail Spencer","Rent HD $3.99,Buy HD $12.99,Buy SD $9.99,"
1719,"2 hours, 51 minutes",Ridley Scott,"Russell Crowe, Joaquin Phoenix","Rent HD $3.99,Rent SD $2.99,Buy HD $14.99,Buy SD $9.99,"
1720, 166 minutes ,Sam Wood,Gary Cooper,$9.69 
1721, 315 minutes ,James Sbardellati,Rick Hill,$16.95 
1723,"1 hour, 53 minutes",Marcello Baldi,"Norman Wooland, Gianni Garko","Buy SD $9.99,"
1724, 128 minutes ,James Clavell,Michael Caine,$55.90 
1725, 137 minutes ,Clint Eastwood,Clint Eastwood,$6.73 
1726, 106 minutes ,Kevin Macdonald,Simon Yates,$59.95 
1727, 106 minutes ,Hironobu Sakaguchi,John DeMita,$6.14 
1728,43 minutes,Atz Kilcher,"Atz Kilcher, Bonnie Kilcher","Buy SD $0.67,Buy HD $22.99,"
1729, 103 minutes ,Lexi Alexander,Ray Stevenson,$5.00 
1730, 114 minutes ,Elliot Silverstein,Richard Harris,$9.64 
1731, 104 minutes ,Rob Minkoff,Jackie Chan,$8.51 
1732, 182 minutes ,Frederick King Keller,Michael T. Weiss,$9.64 
1733, 142 minutes ,Mihalis Kakogiannis,Anthony Quinn,$14.98 
1734, 103 minutes ,Masahiro Andô,Tomoya Nagase,
1735, 100 minutes ,Michael Lehmann,Sandra Bernhard,$9.26 
1736, 85 minutes ,Robert Houston,Tomisaburo Wakayama,$14.99 
1737,"1 hour, 36 minutes",Robert Carter,"Victoria Haralabidou, Myles Pollard","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
1738, 116 minutes ,Steven Soderbergh,George Clooney,$8.99 
1739, 96 minutes ,Jonathan Prince,Jonathan Jackson,$9.99 
1740, 106 minutes ,Tim Story,Ioan Gruffudd,$8.00 
1741, 88 minutes ,Doug Liman,Hayden Christensen,$6.15 
1742, 104 minutes ,Bryan Singer,Patrick Stewart,$9.61 
1743, 117 minutes ,Jonathan Mostow,Bill Paxton,$9.58 
1744, 95 minutes ,Bobby Farrelly,Laurence Fishburne,$36.99 
1745, 92 minutes ,Pierre Morel,John Travolta,$5.00 
1746, 101 minutes ,Bruce Beresford,Lothaire Bluteau,$22.98 
1747, 90 minutes ,Peter Sullivan,Casper Van Dien,$9.93 
1748, 89 minutes ,David McNally,Jerry O'Connell,$5.97 
1749,"1 hour, 45 minutes",Rob Minkoff,"Jet Li, Michael Angarano","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
1750,"1 hour, 34 minutes",David R. Ellis,"Caroline Aaron, Kim Basinger","Rent HD $3.99,Rent SD $2.99,Buy HD $13.99,Buy SD $9.99,"
1751,"2 hours, 2 minutes",John Frankenheimer,"Robert De Niro, Jean Reno","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
1752, 103 minutes ,Michael Bassett,James Purefoy,$7.50 
1753,"1 hour, 37 minutes",Joseph John Barmettler,"Deron McBee, Joann Ayers","Buy SD $9.99,"
1754, 91 minutes ,Dennie Gordon,Mary-Kate Olsen,$4.91 
1755, 92 minutes ,Screaming Mad George,Jimmy Walker,$10.40 
1756,"2 hours, 5 minutes",Sidney Lumet,"Penelope Allen, Sully Boyar","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
1757, 96 minutes ,Wilson Yip,Donnie Yen,$12.70 
1758, 106 minutes ,John Singleton,Taylor Lautner,$5.00 
1759,"1 hour, 44 minutes",Rob Cohen,"Dennis Quaid, David Thewlis","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
1760,"1 hour, 34 minutes",Ted Kotcheff,"Sylvester Stallone, Richard Crenna","Rent HD $3.99,Rent SD $2.99,"
1761, 146 minutes ,Cecil B. De Mille,Gary Cooper,$9.58 
1762, 89 minutes ,Tim Wolochatiuk,Benjamin Muir,$10.48 
1763, 132 minutes ,Guy Hamilton,Michael Caine,$5.59 
1764,"1 hour, 2 minutes",Scott Pembroke,"Judith Allen, Grant Withers","Buy SD $9.99,"
1765,"1 hour, 23 minutes",Josef Shaftel,"David Wayne, Keenan Wynn","Buy SD $14.99,"
1766,"1 hour, 37 minutes",John Ford,"Claire Trevor, John Wayne","Rent SD $2.99,Buy HD $19.99,Buy SD $14.99,"
1767,"1 hour, 49 minutes",John Ford,"John Wayne, Lee Marvin","Rent HD $3.99,Rent SD $2.99,Buy HD $13.99,Buy SD $9.99,"
1768, 180 minutes ,Roger Young,Johannes Brandrup,$7.90 
1769, 251 minutes ,Various,Various,$5.89 
1770,"1 hour, 5 minutes",Boyd Kirkland,"Kevin Conroy, Michael Ansara","Rent SD $2.99,Buy SD $9.99,"
1771, 96 minutes ,Danny Cannon,Sylvester Stallone,$8.61 
1772,"1 hour, 14 minutes",Lauren Montgomery,"Keri Russell, Nathan Fillion","Rent HD $3.99,Rent SD $2.99,Buy HD $17.99,Buy SD $9.99,"
1773, 126 minutes ,George Sidney,Lana Turner,$9.59 
1774,"1 hour, 40 minutes",Marcus Nispel,"Karl Urban, Moon Bloodgood","Buy HD $12.99,Buy SD $13.99,"
1775, 118 minutes ,Barry Sonnenfeld,Will Smith,$13.89 
1776, 222 minutes ,Daniel Mann,James Coburn,$14.99 
1777, 125 minutes ,Guy Hamilton,Harrison Ford,$7.99 
1778, 102 minutes ,Robert Rodriguez,Eva Mendes,$13.59 
1779,"1 hour, 46 minutes",Carroll Ballard,"Charles Martin Smith, Brian Dennehy","Rent HD $3.99,Rent SD $2.99,Buy HD $17.99,Buy SD $9.99,"
1780, 132 minutes ,Sam Peckinpah,James Coburn,$22.99 
1781, 110 minutes ,Various,Various,$4.89 
1782,"2 hours, 45 minutes",John Guillermin,"Steve McQueen, Paul Newman","Rent HD $3.99,Rent SD $2.99,Buy HD $13.99,Buy SD $13.99,"
1783,"2 hours, 2 minutes",Andrew Niccol,"Nicolas Cage, Bridget Moynahan","Rent HD $3.99,Rent SD $2.99,Buy HD $16.99,Buy SD $15.99,"
1784, 100 minutes ,Garry Marshall,Matt Dillon,$5.49 
1785, 148 minutes ,John Sturges,Rock Hudson,$9.14 
1786, 182 minutes ,Various,Various,$14.64 
1787, 116 minutes ,Richard Donner,Paul Walker,$5.97 
1788,"2 hours, 2 minutes",Wayne Kramer,"Paul Walker, Cameron Bright","Rent HD $3.99,Rent SD $2.99,Buy HD $6.99,Buy SD $6.99,"
1789, 100 minutes ,Rob Bowman,Jennifer Garner,$9.62 
1790, 100 minutes ,Craig Baxley,Tom Berenger,$17.55 
1791, 117 minutes ,Irwin Allen,Gene Hackman,$9.85 
1792, 130 minutes ,Bill Duke,Laurence Fishburne,$6.59 
1793, 137 minutes ,John Lee Hancock,Dennis Quaid,$4.97 
1794,7 minutes,Gary Ross,"Elizabeth Banks, Woody Harrelson",
1795,"2 hours, 37 minutes",J. Lee Thompson,"Gregory Peck, David Niven","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
1796,51 minutes,Joseph Fiennes,"Joseph Fiennes, Jamie Campbell Bower","Buy SD $1.99,Buy HD $9.99,Buy SD $7.99,"
1797, 116 minutes ,John Huston,Sylvester Stallone,$5.97 
1798,"1 hour, 41 minutes",Mario Van Peebles,"Wesley Snipes, Ice-T","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
1799,"1 hour, 17 minutes",Jay Oliva,"Peter Weller, Ariel Winter","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
1800,"1 hour, 31 minutes",Mark L. Lester,"Arnold Schwarzenegger, Rae Dawn Chong","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $13.99,"
1801, 97 minutes ,David Barrett,Bruce Willis,$7.99 
1802, 108 minutes ,Wilson Yip,Donnie Yen,$9.99 
1803, 93 minutes ,Jeff Schaffer,Scott Mechlowicz,$13.89 
1804, 109 minutes ,Stanley Tucci,Stanley Tucci,
1805, 126 minutes ,Jack Cardiff,Sidney Poitier,$12.82 
1806, 102 minutes ,Richard Fleischer,Arnold Schwarzenegger,$9.49 
1807,"2 hours, 3 minutes",Henry Hathaway,"John Wayne, Stewart Granger","Rent HD $3.99,Rent SD $2.99,Buy HD $13.99,Buy SD $13.99,"
1808,"2 hours, 10 minutes",Sean Anders,"Josh Zuckerman, Amanda Crew","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $7.99,"
